"historyId","historyUid","userUid","onlineCourseUid","grade","gradeMaxVal","completed","pct"
"1","6156902c-af7b-11eb-9cf0-d040cf4d1583","d215bfdb-4713-41c4-be6e-fad4e563ba3f","c0f44be8-af79-11eb-9cf0-d040cf4d1583","100","100","25/5/2019 17:24:19","1"
"2","61563fb4-af7b-11eb-9cf0-d040cf4d1583","bba0fa8a-1d7b-4b7b-ba8a-8ab3e89ba0c7","c0f44954-af79-11eb-9cf0-d040cf4d1583","87","100","8/4/2019 08:24:31","0.87"
"3","6157089a-af7b-11eb-9cf0-d040cf4d1583","f649b20f-5735-4972-bc00-53e73b20ccf1","c0f44ddc-af79-11eb-9cf0-d040cf4d1583","15","50","7/9/2018 04:31:46","0.3"
"4","61569496-af7b-11eb-9cf0-d040cf4d1583","d41fb661-bf7e-4639-a3fb-c55c2a41f0c9","c0f44954-af79-11eb-9cf0-d040cf4d1583","100","100","12/9/2019 03:55:01","1"
"5","61572384-af7b-11eb-9cf0-d040cf4d1583","fddac3eb-34ee-4531-a868-fb9f4a755c1f","c0f44ddc-af79-11eb-9cf0-d040cf4d1583","100","100","25/11/2019 19:33:12","1"
"6","615410ae-af7b-11eb-9cf0-d040cf4d1583","0bdf047d-66d4-4deb-b202-6a1be9d1c1e6","c0f44954-af79-11eb-9cf0-d040cf4d1583","12","50","8/4/2019 01:47:37","0.24"
"7","61550298-af7b-11eb-9cf0-d040cf4d1583","573e6fe1-bea4-40e2-97b2-9bd92c0fef16","c0f44ddc-af79-11eb-9cf0-d040cf4d1583","14","50","23/3/2018 13:10:16","0.28"
"8","6155d8f8-af7b-11eb-9cf0-d040cf4d1583","9bc54744-de59-46cf-82b1-8cd6bc511751","c0f44954-af79-11eb-9cf0-d040cf4d1583","96","100","15/3/2019 14:40:08","0.96"
"9","61568d5c-af7b-11eb-9cf0-d040cf4d1583","d134b4b5-c0cf-4c58-a915-4edaf812a95f","c0f44d78-af79-11eb-9cf0-d040cf4d1583","40","50","26/12/2019 17:27:42","0.8"
"10","61555414-af7b-11eb-9cf0-d040cf4d1583","6f6dd454-20de-4985-a42e-15af39afc994","c0f44d00-af79-11eb-9cf0-d040cf4d1583","40","50","25/2/2018 16:41:17","0.8"
"11","6156218c-af7b-11eb-9cf0-d040cf4d1583","b295d65e-c4ec-4622-9967-45a3916b7092","c0f44ddc-af79-11eb-9cf0-d040cf4d1583","100","100","30/4/2019 06:15:47","1"
"12","61550fea-af7b-11eb-9cf0-d040cf4d1583","5b094966-2049-4b31-82fb-cb013ac8e9ca","c0f44d00-af79-11eb-9cf0-d040cf4d1583","90","100","3/1/2018 11:09:04","0.9"
